"date","month","type","total_in_tons"
"2020-01-31T00:00:00.000","January","E-Waste","30"
"2020-01-31T00:00:00.000","January","Haz Waste","0"
"2020-01-31T00:00:00.000","January","Yard Waste","519"
"2020-01-31T00:00:00.000","January","Recycled Tires","22"
"2020-01-31T00:00:00.000","January","Scrap Metal","332"
"2020-01-31T00:00:00.000","January","Bottle Bill","317"
"2020-01-31T00:00:00.000","January","Misc. Recycling","10"
"2020-01-31T00:00:00.000","January","Curb Recycling","1422"
"2019-12-31T00:00:00.000","December","Misc. Garbage","686"
"2019-12-31T00:00:00.000","December","Curb Garbage","7000"
"2019-12-31T00:00:00.000","December","E-Waste","29"
"2019-12-31T00:00:00.000","December","Haz Waste","0"
"2019-12-31T00:00:00.000","December","Yard Waste","11500"
"2019-12-31T00:00:00.000","December","Recycled Tires","17"
"2019-12-31T00:00:00.000","December","Scrap Metal","732"
"2019-12-31T00:00:00.000","December","Bottle Bill","317"
"2019-12-31T00:00:00.000","December","Misc. Recycling","5100"
"2019-12-31T00:00:00.000","December","Curb Recycling","1538"
"2019-11-30T00:00:00.000","November","Misc. Garbage","459"
"2019-11-30T00:00:00.000","November","Curb Garbage","6936"
"2019-11-30T00:00:00.000","November","E-Waste","18"
"2019-11-30T00:00:00.000","November","Haz Waste","0"
"2019-11-30T00:00:00.000","November","Yard Waste","352"
"2019-11-30T00:00:00.000","November","Recycled Tires","18"
"2019-11-30T00:00:00.000","November","Scrap Metal","332"
"2019-11-30T00:00:00.000","November","Bottle Bill","317"
"2019-11-30T00:00:00.000","November","Misc. Recycling","10"
"2019-11-30T00:00:00.000","November","Curb Recycling","1240"
"2019-10-31T00:00:00.000","October","Misc. Garbage","1727"
"2019-10-31T00:00:00.000","October","Curb Garbage","7803"
"2019-10-31T00:00:00.000","October","E-Waste","40"
"2019-10-31T00:00:00.000","October","Haz Waste","0"
"2019-10-31T00:00:00.000","October","Yard Waste","367"
"2019-10-31T00:00:00.000","October","Recycled Tires","14"
"2019-10-31T00:00:00.000","October","Scrap Metal","332"
"2019-10-31T00:00:00.000","October","Bottle Bill","317"
"2019-10-31T00:00:00.000","October","Misc. Recycling","10"
"2019-10-31T00:00:00.000","October","Curb Recycling","1405"
"2019-09-30T00:00:00.000","September","Curb Recycling","1354"
"2019-09-30T00:00:00.000","September","Curb Garbage","7481"
"2019-09-30T00:00:00.000","September","E-Waste","24"
"2019-09-30T00:00:00.000","September","Haz Waste","0"
"2019-09-30T00:00:00.000","September","Yard Waste","253"
"2019-09-30T00:00:00.000","September","Recycled Tires","23"
"2019-09-30T00:00:00.000","September","Scrap Metal","332"
"2019-09-30T00:00:00.000","September","Bottle Bill","317"
"2019-09-30T00:00:00.000","September","Misc. Garbage","1963"
"2019-09-30T00:00:00.000","September","Misc. Recycling","10"
"2019-08-31T00:00:00.000","August","Misc. Recycling","10"
"2019-08-31T00:00:00.000","August","Misc. Garbage","2190"
"2019-08-31T00:00:00.000","August","Curb Garbage","7842"
"2019-08-31T00:00:00.000","August","E-Waste","23"
"2019-08-31T00:00:00.000","August","Haz Waste","0"
"2019-08-31T00:00:00.000","August","Yard Waste","0"
"2019-08-31T00:00:00.000","August","Recycled Tires","22"
"2019-08-31T00:00:00.000","August","Scrap Metal","332"
"2019-08-31T00:00:00.000","August","Bottle Bill","317"
"2019-08-31T00:00:00.000","August","Curb Recycling","1415"
